ID,武器名称,类型,品质,材质,基础伤害,攻击速度_秒,破甲率%,武器长度,重量_石,耐久度,基础价值_金,可用攻击方向,特别要求,国家来源,特殊效果,描述
WPN_BLADE_03,百炼钢刀,刀,蓝,百炼钢,68,0.42,12,0.8,1.0,400,950,左砍/右砍/上劈,武勇≥40,通用,武勇+3/砍击伤害+10%,百炼钢折叠锻打的利刃
WPN_BLADE_04,楚环首刀,刀,蓝,精铁,60,0.44,10,0.8,1.1,350,850,左砍/右砍/上劈,统率≥35,楚国,骑兵冲锋时砍击伤害+15%,环首设计防止脱手
WPN_BLADE_05,赵骑战刀,刀,蓝,精铁,64,0.42,12,0.7,1.0,370,880,左砍/右砍(马上),骑术≥40,赵国,马上砍击伤害+18%/移速不减,胡服骑射传统下的骑兵刀
WPN_BLADE_06,秦重斩刀,刀,蓝,精铁,70,0.50,10,0.8,1.4,420,900,左砍/右砍/上劈,武勇≥50,秦国,上劈伤害+20%(专精)/破防率+10%,重刀适合劈砍秦国重甲敌军
WPN_BLADE_07,燕防身刀,刀,绿,铁,46,0.42,6,0.6,1.0,280,350,四方向全(短距),无,燕国,耐寒/隐藏携带,短刀适合防身和严寒环境
WPN_BLADE_08,齐商旅刀,刀,绿,铁,44,0.40,5,0.6,0.9,300,360,四方向全(短距),经营≥25,齐国,经商利润+3%(威慑),商人随身携带的防身短刀

# === 戟系 ===
WPN_HALB_01,铜戟,戟,白,铜,50,0.60,12,2.5,3.0,180,200,上劈/下刺,武勇≥25,通用,无,基础长杆铜戟
WPN_HALB_02,精铁戟,戟,绿,精铁,68,0.58,18,2.5,2.8,300,550,上劈/下刺,武勇≥35,通用,武勇+3/对骑兵伤害+15%,精铁打造的步兵长戟
WPN_HALB_03,百炼钢戟,戟,蓝,百炼钢,85,0.55,24,2.6,2.5,450,1200,上劈/下刺,武勇≥55,通用,武勇+5/对骑兵伤害+25%/钩拉成功率+10%,百炼钢打造的精锐长戟
WPN_HALB_04,秦制式戟,戟,绿,铁,72,0.56,16,2.6,2.9,350,580,上劈/下刺,统率≥30,秦国,标准化(维护费-15%)/对骑兵+20%,秦军步兵标准配置
WPN_HALB_05,魏武戟,戟,蓝,精铁,80,0.55,20,2.7,2.7,400,1100,上劈/下刺/横扫,统率≥45,魏国,统率+3/对步兵+15%,魏武卒标配长戟
WPN_HALB_06,楚长戟,戟,蓝,精铁,78,0.58,18,2.8,2.9,380,1050,上劈/下刺,武勇≥45,楚国,攻击距离+10%/对骑兵+20%,楚国长兵器传统

# === 矛/枪系 ===
WPN_SPEAR_01,铜矛,矛,白,铜,32,0.30,15,2.2,2.0,160,130,下刺,无,通用,无,基础铜矛
WPN_SPEAR_02,精铁矛,矛,绿,精铁,48,0.30,22,2.3,1.8,280,420,下刺,武勇≥25,通用,武勇+2,精铁矛尖锋利
WPN_SPEAR_03,百炼钢矛,矛,蓝,百炼钢,62,0.28,28,2.4,1.7,400,900,下刺,武勇≥45,通用,武勇+4/骑兵冲锋伤害+50%,百炼钢矛破甲穿透力极强
WPN_SPEAR_04,赵骑枪,矛,蓝,精铁,55,0.30,20,2.8,2.2,350,850,下刺(马上自动架枪),骑术≥50,赵国,骑兵冲锋伤害+80%/架枪自动触发,赵国骑兵专用长枪
WPN_SPEAR_05,楚步战矛,矛,蓝,精铁,50,0.30,18,2.0,1.6,320,750,下刺,武勇≥35,楚国,近战刺击+15%(较短灵活),短矛适合步战和丛林
WPN_SPEAR_06,秦长矛,矛,绿,铁,45,0.32,16,3.0,2.5,300,400,下刺,统率≥30,秦国,方阵中攻击距离延长+20%,秦国长矛方阵专用

# === 弓系 ===
WPN_BOW_01,短木弓,弓,白,木,22,1.2(拉弓),0,0,0.5,120,80,远程瞄准,无,通用,无,基础猎弓
WPN_BOW_02,角弓,弓,绿,木+角,32,1.1,3,0,0.5,220,350,远程瞄准,武勇≥20,通用,射程+5%/武勇+1,牛角加固的猎弓
WPN_BOW_03,复合弓,弓,蓝,木+角+筋,42,1.0,5,0,0.5,350,850,远程瞄准,武勇≥40,通用,武勇+2/射程+15%/精度+10%,多层复合强弓
WPN_BOW_04,楚长弓,弓,蓝,紫杉木,45,1.2,3,0,0.6,320,900,远程瞄准,武勇≥45,楚国,射程+25%/抛射精度+10%,楚人善用长弓远射
WPN_BOW_05,赵骑弓,弓,绿,木+角,30,0.9,0,0,0.4,250,400,远程瞄准(马上可用),骑术≥30,赵国,马上射击精度不减(普通弓-30%),骑兵短弓
WPN_BOW_06,燕猎弓,弓,绿,木+筋,34,1.1,2,0,0.5,280,420,远程瞄准,武勇≥25,燕国,耐寒(寒地射程不减)/对野兽+25%,燕地猎弓

# === 弩系 ===
WPN_XBOW_01,木弩,弩,白,木,38,2.5(装填),20,0,1.0,150,150,远程瞄准,无,通用,无,基础弩机
WPN_XBOW_02,劲弩,弩,绿,精铁+木,52,2.3,28,0,1.0,280,500,远程瞄准,武勇≥25,通用,破甲+5%/精度+10%,精铁弩机的改良版
WPN_XBOW_03,韩劲弩,弩,蓝,精铁,65,2.2,38,0,0.9,400,1200,远程瞄准,武勇≥40,韩国,破甲+15%/暴击率+10%,天下劲弩出韩国的代表作
WPN_XBOW_04,三连弩,连弩,蓝,精铁+机关,35×3,0.8(连发)+3.0(装填),12,0,1.5,350,1500,连射3发,武勇≥35+工艺≥30,韩国(专属),连射/压制射击,韩国精密机关术的杰作
WPN_XBOW_05,秦强弩,弩,绿,铁,55,2.4,30,0,1.1,350,550,远程瞄准,统率≥30,秦国,量产(维护费-20%)/防御战时精度+15%,秦军标准化强弩
WPN_XBOW_06,魏连弩,连弩,蓝,精铁+机关,30×3,0.9(连发)+3.5(装填),10,0,1.6,320,1300,连射3发,武勇≥30+智略≥30,魏国,齐射模式(伤害集中),魏国改进型连弩
WPN_XBOW_07,守城重弩,弩,蓝,铁+木,80,4.0(装填),35,0,5.0,500,2000,远程瞄准(固定),无,通用,守城时伤害+40%/射程+30%,固定在城墙上的重弩

# === 特殊武器 ===
WPN_DAG_01,铜匕首,匕首,白,铜,15,0.25,10,0.3,0.2,100,60,四方向(短距),无,通用,隐蔽携带(不显示在外),小型防身武器
WPN_DAG_02,精铁匕首,匕首,绿,精铁,22,0.22,18,0.3,0.2,180,250,四方向(短距),武勇≥20,通用,暗杀伤害+25%/隐蔽携带,刺客的首选
WPN_DAG_03,鱼肠仿品,匕首,蓝,百炼钢,28,0.20,25,0.3,0.1,220,800,刺(专精),武勇≥50+侠道路线,通用,刺击伤害+40%/隐蔽/无视护甲20%,鱼肠剑的高仿品
WPN_SHIELD_01,木盾,盾,白,木+皮,5(盾击),0.50,0,0.4,3.0,250,80,盾击,无,通用,格挡消耗-8/次/正面防御,基础木盾
WPN_SHIELD_02,铜面盾,盾,绿,铜+木,8,0.50,0,0.5,3.5,400,300,盾击,武勇≥25,通用,格挡消耗-6/次/正面+左侧,铜皮加固
WPN_SHIELD_03,铁盾,盾,蓝,铁+木,12,0.55,0,0.6,4.0,600,800,盾击(可破防),武勇≥40,通用,格挡消耗-4/次/正面+左侧+可反击,全铁盾牌
WPN_SHIELD_04,秦军盾,盾,绿,铁+木,10,0.50,0,0.5,3.5,500,450,盾击+方阵盾墙,统率≥30,秦国,方阵盾墙防御+30%/标准化维护费-20%,秦军方阵盾
WPN_SHIELD_05,楚藤盾,盾,绿,藤+皮,6,0.40,0,0.3,2.0,350,400,盾击,无,楚国,极轻(移速不减)/丛林环境防御+15%,藤编轻盾适合楚地山林
WPN_SHIELD_06,塔盾,盾,紫,铁+木,15,0.60,0,1.0,8.0,800,1500,盾击+全身掩蔽,武勇≥60,通用,格挡消耗-2/次/全身正面防御/无法闪避,攻城和防守的第一道防线
