# ==================== 武器锻造配方表 ====================
配方ID,成品名称,成品品质,武器类型,所需工艺,所需科技,材料1,材料1数量,材料2,材料2数量,材料3,材料3数量,特殊材料,锻造时间_天,基础成功率(%),最高成功率(%),冷却_天,可量产,专属国家,描述
REC_HALB_04,魏武戟,蓝,戟,45,冶铁术,精铁锭,6,铁木(长柄),2,精铁(戟刃加强),2,魏武卒训练手册,8,45,75,5,限量,魏国,魏武卒训练兵器

# --- 矛系锻造 ---
REC_SPEAR_01,铜矛,白,矛,0,无,铜锭,2,木材(长柄),2,无,0,无,1,95,100,0,是,通用,基础铜矛
REC_SPEAR_02,精铁矛,绿,矛,25,冶铁术,精铁锭,2,硬木(长柄),2,皮革(缠柄),1,无,3,75,95,0,是,通用,精铁矛锻造
REC_SPEAR_03,百炼钢矛,蓝,矛,45,炼钢,百炼钢锭,3,铁木(长柄),2,皮革(缠柄),2,无,7,55,85,3,是,通用,百炼钢矛锻造
REC_SPEAR_04,赵骑枪,蓝,矛,40,冶铁术+骑兵革新,精铁锭,3,铁木(超长柄3.0),3,马鬃(枪缨),3,代郡战马鬃毛,6,50,80,3,限量,赵国,赵国骑兵长枪

# --- 弓系制作 ---
REC_BOW_01,短木弓,白,弓,5,无,木材(弓身),3,筋腱,2,麻线(弦),1,无,2,85,100,0,是,通用,基础猎弓
REC_BOW_02,角弓,绿,弓,25,冶铁术,木材(弓身),4,牛角,2,筋腱,3,无,4,70,90,0,是,通用,牛角加固弓
REC_BOW_03,复合弓,蓝,弓,45,冶铁术,紫杉木(弓身),5,牛角+筋腱,4,丝线(弦)+鱼胶,3,无,7,50,80,5,是,通用,多层复合弓
REC_BOW_04,楚长弓,蓝,弓,50,无,楚地紫杉(弓身),6,牛角,3,鹿筋(弦),4,楚国长弓术传承,8,50,75,5,限量,楚国,楚国长弓

# --- 弩系制作 ---
REC_XBOW_01,木弩,白,弩,15,弩机,木材(弩身),4,铜(弩机),2,筋腱(弦),1,无,5,80,95,0,是,通用,基础弩机
REC_XBOW_02,劲弩,绿,弩,30,弩机,硬木(弩身),5,精铁(弩机),3,筋腱(弦),2,无,7,65,90,3,是,通用,精铁弩机
REC_XBOW_03,韩劲弩,蓝,弩,55,弩机+冶铁术,铁木(弩身),6,百炼钢(精密弩机),4,鹿筋(弦),3,韩国精密图纸,14,40,70,7,限量(每月2把),韩国,天下劲弩出韩国
REC_XBOW_04,三连弩,蓝,连弩,60,连弩+机关术,铁木(弩身),8,百炼钢(机关),6,精铁(箭匣),5,韩国机关图纸+精密弹簧,21,30,60,14,限量(每月1把),韩国(专属),三连发机关弩
REC_XBOW_05,秦强弩,绿,弩,30,弩机,硬木(弩身),5,铁(弩机),3,筋腱(弦),2,无,6,70,90,3,是(秦国效率+20%),秦国,秦国量产强弩

# ==================== 特殊锻造表 ====================
REC_LEGEND_01,名剑仿品(通用),紫,任意名剑类型,75,百炼成钢,百炼钢锭,10,陨铁碎片(稀有),2,龙血/麒麟血(传说),1,名剑图谱(隐藏任务获取),30,15,40,30,否,通用,仿造十大名剑(威力为真品80%)
REC_LEGEND_02,自命名神兵,暗金(神话),玩家选择类型,95,终极工艺,镔铁+龙骨+陨铁,各5,神话精华(终极任务),1,灵魂碎片(绑定玩家),1,传说材料+命名仪式,60,5,20,90,否,韩国(精密制造),玩家命名的唯一神兵
REC_UPGRADE_01,武器品质升级(白→绿),绿,任意,20,冶铁术,原武器,1,精铁锭,2,无,0,无,3,70,90,0,不限,通用,将白色武器升级为绿色
REC_UPGRADE_02,武器品质升级(绿→蓝),蓝,任意,45,炼钢,原武器,1,百炼钢锭,3,无,0,无,7,50,75,3,不限,通用,将绿色武器升级为蓝色
REC_UPGRADE_03,武器品质升级(蓝→紫),紫,任意,65,百炼成钢,原武器,1,百炼钢锭,5,陨铁碎片,1,无,14,30,55,7,不限,通用,将蓝色武器升级为紫色
REC_REPAIR_01,武器修理,无,任意,0,无,原武器,1,同材质锭,1,无,0,无,0.5,100,100,0,不限,通用,消耗同材质材料修复耐久
