# ==================== 头盔表 ====================
GAUN_05,精铁护臂,护臂,蓝,15,12,1.5,300,500,武勇+2,精铁打造
GAUN_06,百炼钢臂铠,护臂,紫,22,18,1.8,450,1200,武勇+3/格挡体力消耗-10%,百炼钢臂铠
GREAVE_01,布绑腿,护腿,白,1,1,0.1,60,10,无,麻布绑腿
GREAVE_02,皮护腿,护腿,白,3,3,0.3,120,40,无,鞣革护腿
GREAVE_03,铜护胫,护腿,绿,6,6,0.8,180,120,无,铜制护胫
GREAVE_04,铁护腿,护腿,绿,10,9,1.2,220,250,腿部减速概率-15%,铁制护腿
GREAVE_05,精铁护腿,护腿,蓝,15,12,1.5,300,500,移速+3%,精铁打造
GREAVE_06,百炼钢腿铠,护腿,紫,22,18,1.8,450,1200,武勇+2/闪避后反击伤害+10%,百炼钢腿铠

# ==================== 套装效果表 ====================
套装ID,套装名称,组成部件,品质,套装2件效果,套装3件效果,套装4件效果,套装5件效果(全套),国家来源,描述
SET_01,秦军制式套装,秦军盔+秦制式甲+秦军盾,绿,标准化维护费累计-35%,编制内士兵士气+5,方阵协同伤害+10%,无,秦国,秦军标准装备套装
SET_02,赵骑突击套装,赵骑盔+赵胡服轻甲+赵骑战刀,绿-蓝,骑乘时移速不减(叠加),马上攻击伤害+15%,骑兵冲锋冷却-20%,无,赵国,赵国骑兵专用套装
SET_03,魏武卒重装,魏武盔+魏武卒重铠+百炼钢戟,蓝,统率+5(魏武卒之魂),对弓箭防御累计+35%,步兵方阵中受伤害-15%,全军重步兵士气+10,魏国,魏武卒制式重装
SET_04,韩精密套装,韩精工盔+韩精工鳞甲+韩劲弩,蓝-紫,暴击率累计+13%,武器全耐久+45%,工艺品质检定+1级,精密攻击命中弱点概率+10%,韩国,韩国精密制造套装
SET_05,将军威严套装,将军盔+将军重铠+将军佩剑,紫,统率+8,全军士气+8,光环范围+30%,被刺杀概率-50%(近卫警觉),通用,将军的全套装备
SET_06,帝王君临套装,帝王冠+帝王金甲+纯钧剑,金,全属性+10,霸业声望+50%,敌方士气-15,小国臣服概率+30%,通用,帝王降临战场
