将领ID,姓名,国家,身份,统率,武勇,智略,魅力,经营,工艺,忠诚基础,野心(0-100),性格类型,相性值,专属技能ID,招募难度,初始年龄,寿命,擅长兵种,擅长地形,历史定位,描述
GEN_YAN_06,荆轲,燕,刺客/游侠,15,82,68,72,10,15,85,40,侠义型,45,SKILL_JINGKE,★★★,32,33(战死),匕首/暗杀,城市,千古刺客,为燕太子丹刺秦王，风萧萧兮易水寒
GEN_YAN_07,太子丹,燕,太子/政治家,30,20,75,80,45,15,70,50,野心型,55,SKILL_TAIZIDAN,★★,28,32(被杀),无(文官),无,刺秦策划者,燕太子丹策划荆轲刺秦
GEN_YAN_08,郭隗,燕,大夫,18,8,78,75,40,18,75,15,忠诚型,68,SKILL_GUOWEI,★★,55,70,无(文官),无,黄金台之始,"千金买马骨"故事主角
GEN_YAN_09,高渐离,燕,乐师/刺客,10,65,55,70,12,65,70,30,侠义型,42,无,★,28,38,乐器(筑),城市,荆轲知己,荆轲好友，易水送别击筑而歌

# ==================== 魏国 ====================
GEN_WEI_01,吴起,魏(后奔楚),西河守/上将军,97,88,90,55,60,30,60,70,激进型(功利),72,SKILL_WUQI,★★★★★,38,55,重步兵/骑兵,平原/山地,军政全才,魏武卒创建者，著有《吴子兵法》，后世变法先驱
GEN_WEI_02,庞涓,魏,上将军,85,80,82,50,35,18,70,35,激进型,62,SKILL_PANGJUAN,★★★★,35,38(战死),轻步兵/骑兵,山地/森林,孙膑师弟,与孙膑同学，嫉妒其才，马陵之战被孙膑复仇
GEN_WEI_03,乐羊,魏,将军,78,72,65,48,35,15,68,25,激进型,62,无,★★,42,55,重步兵,平原,灭中山国,魏国名将，灭中山国
GEN_WEI_04,西门豹,魏,邺令/政治家,40,20,82,78,70,45,75,15,灵活型,72,SKILL_XIMENBAO,★★★,40,58,无(文官),无,治邺奇才,投巫治邺的水利专家
GEN_WEI_05,信陵君(魏无忌),魏,相国/公子,60,45,85,92,65,20,82,30,灵活型,75,SKILL_XINLINGJUN,★★★★,38,55,骑兵,平原,战国四公子,窃符救赵，两次合纵破秦
GEN_WEI_06,李悝,魏,相国,25,12,95,78,75,20,80,20,灵活型,75,SKILL_LIKUI,★★★★,45,62,无(文官),无,变法先驱,著《法经》，魏国变法奠基人
GEN_WEI_07,公孙痤,魏,相国,35,15,75,72,65,18,70,20,平庸型,65,无,★★,50,65,无(文官),无,识人之明,推荐商鞅给魏王但未被采纳
GEN_WEI_08,惠施,魏,相国/名家,20,10,90,70,40,20,68,25,灵活型,62,SKILL_HUISHI,★★★,42,60,无(文官),无,名家代表,名家代表人物，庄子好友
GEN_WEI_09,龙贾,魏,将军,70,65,55,38,28,15,62,30,平庸型,58,无,★,40,55,步兵,平原,河西之战,
GEN_WEI_10,晋鄙,魏,将军,72,68,50,35,30,12,75,15,忠诚型,65,无,★,48,50(被杀),步兵,平原,被锤杀之将,信陵君窃符救赵时被朱亥锤杀

# ==================== 韩国 ====================
GEN_HAN_01,暴鸢,韩,将军,72,70,58,35,28,12,65,35,平庸型,55,无,★★,35,50,步兵,平原,韩国主将,韩国主要将领
GEN_HAN_02,申不害,韩,相国,30,12,88,75,68,20,82,25,灵活型,72,SKILL_SHENBUHAI,★★★★,42,58,无(文官),无,术治大师,韩国变法者，"术治"理论家
GEN_HAN_03,韩非,韩,公子/法家,15,8,97,62,35,18,75,10,忠诚型,78,SKILL_HANFEI,★★★★,30,48(被杀),无(文官),无,法家集大成者,著有《韩非子》，法家思想集大成
GEN_HAN_04,冯亭,韩,上党太守,65,60,62,48,40,15,60,35,平庸型,55,无,★★,42,52,步兵,山地,上党之争主角,将上党献给赵国引发长平之战
GEN_HAN_05,郑国,韩,水工/工程师,15,8,82,45,40,90,60,20,忠诚型,58,SKILL_ZHENGGUO,★★★,40,60,无(工程),无,郑国渠设计者,韩国"疲秦计"派出的水工
GEN_HAN_06,张良,韩(后归汉),公子/谋士,55,35,96,78,40,22,70,25,灵活型,82,SKILL_ZHANGLIANG,★★★★★,22,65,轻步兵,山地,运筹帷幄,韩国贵族后代，博浪沙刺秦
GEN_HAN_07,宜阳铁官,韩,工匠宗师,10,15,68,30,45,95,65,15,淡泊型,60,SKILL_YIYANG,★★,45,65,无(工匠),无,冶铁宗师,宜阳冶铁中心的主持工匠

# ==================== 周/其他 ====================
GEN_ZHOU_01,苏秦,周(游走各国),纵横家/六国相,35,18,95,98,55,20,60,50,灵活型,55,SKILL_SUQIN,★★★★★,35,52,无(说客),无,合纵六国,佩六国相印的纵横家大师
GEN_ZHOU_02,张仪,秦(原魏),纵横家/秦相,38,15,97,95,60,18,55,55,灵活型(功利),60,SKILL_ZHANGYI,★★★★★,38,55,无(说客),无,连横破纵,欺楚割地的大纵横家
GEN_ZHOU_03,鬼谷子,周(隐居),纵横家之师,80,60,100,95,70,60,0,0,淡泊型,100,SKILL_GUIGUZI,★★★★★,未知,???,无(全才),山地,百家之祖,苏秦张仪孙膑庞涓之师
GEN_ZHOU_04,公孙衍,魏/韩,纵横家/犀首,55,40,92,90,45,20,58,45,激进型,55,SKILL_GONGSUNYAN,★★★★,42,58,无(说客),无,五国伐秦,发起五国伐秦的纵横家
GEN_ZHOU_05,吕不韦,秦(原卫),相国/文信侯,40,15,90,85,98,30,50,80,野心型(商政),55,SKILL_LVBUWEI,★★★★★,40,55,无(商人/政客),无,奇货可居,投资秦始皇父亲的巨商政治家
GEN_ZHOU_06,荆南,纵横家,20,15,82,80,40,15,55,30,灵活型,52,无,★,35,50,无(说客),无,普通纵横家,
