# ==================== 七种招募渠道配置表 ====================
渠道ID,渠道名称,适用将领类型,基础成功率(%),玩家等级修正,国家匹配修正,声望修正,关系修正,特殊条件,冷却_天,渠道描述,历史参考
CH_01,在野拜访,在野/隐居将领,40,角色等级/100,无,+仁义/200,+好感/200,需要亲自前往将领所在地,无,亲自登门拜访诚意邀请,刘备三顾茅庐
CH_02,登用推荐,已有部下推荐的将领,50,+魅力/200,+本国匹配+10%,+信义/200,+推荐人与目标好感/100,需有部下与该将领有旧,30,通过现有人脉推荐招募,鲍叔牙推荐管仲
CH_03,战场招降,被击败的敌军将领,30,+武勇/300,+战胜国对败将+5%,+仁义/300(善待降将),被俘时-10%(抵触),战后选择"招募"选项,无,战后收降败军之将,曹操收降张辽
CH_04,军功提拔,低级军官/士兵,80,+统率/200,+本国(自己部下),+武名/300,无,该部下累积足够战功,无,从自己的部队中提拔英才,吴起提拔勇士
CH_05,外交招募,外国流亡/失意将领,25,+魅力/150,+本国比其母国强+15%,+信义/150,+提供条件(金/爵位/封地),需要外交渠道/间谍接触,60,从其他国家挖角人才,秦用范雎(魏人)
CH_06,慕名而来,对玩家声望仰慕者,20,自动触发(条件满足),+无(自动判断),+四维声望各/200(取最高),无,玩家声望达到阈值→自动来投,无(触发式),名声远播→人才自来,燕昭王黄金台求贤
CH_07,事件招募,与特定事件绑定的将领,一次性的剧情招募,事件决定,事件决定,事件决定,事件决定,完成特定事件链/任务,无(事件唯一),通过历史事件或隐藏任务获得,信陵君窃符救赵(事件)

# ==================== 各将领推荐招募渠道与条件表 ====================
将领姓名,国家,推荐渠道1,渠道1条件,推荐渠道2,渠道2条件,在野位置(如果在野),招募难度,无法招募的情况,最佳招募时机
屈原,楚,在野拜访,玩家智略≥65+仁义≥70+尊重楚文化,无,屈原极度忠诚→只能在楚国招募,郢都/汨罗,★★★★,楚国亡国→屈原投江(历史事件),楚国怀王/顷襄王初期
庄蹻,楚,在野拜访,玩家探索到滇地(巴蜀以南)+接受庄蹻自立,军功提拔,派遣探险队入滇→发现庄蹻势力→收编,滇地(极偏远),★★★★,玩家不许自立→庄蹻敌对,楚国中期
# --- 齐国 ---
田单,齐,在野拜访,齐国被灭(即墨被围)+玩家有复齐之志,慕名而来,信义≥85+仁义≥70+齐国面临重大危机,即墨,★★★★★,齐国无危机→田单只是普通官员,齐国即墨危机期
孙膑,齐,在野拜访,找到避世隐居的孙膑(需智略≥55识破伪装),事件招募,触发"孙膑逃魏"事件→救助孙膑,魏国某城(被庞涓软禁),★★★★★,庞涓在魏且未被击败→孙膑无法逃离,庞涓注意力分散时
田忌,齐,登用推荐,孙膑推荐+孙膑在玩家手下,战场招降,战败田忌+承诺不追究其与孙膑的关系,齐国,★★★,孙膑不在手下的情况下→田忌倾向于与孙膑共进退,与孙膑同时招募(组合招募)
田文(孟尝君),齐,外交招募,玩家有让人羡慕的封地+承诺厚待门客+经营≥50,慕名而来,魅力≥80+门客众多+名声远播,薛邑(封地),★★★★,齐国政治混乱→孟尝君可能出逃,齐湣王时期
晏婴,齐,在野拜访,玩家智略≥60+魅力≥55+重视节俭,登用推荐,已有齐国老臣推荐,临淄,★★★,齐国文化氛围恶劣→晏婴不愿出仕,齐灵公/庄公/景公时期
邹忌,齐,在野拜访,玩家在齐国有官职+向君主进谏被采纳≥1次,登用推荐,已有稷下学者推荐,临淄,★★★,君主不纳谏→邹忌离开,齐威王时期(改革窗口)
淳于髡,齐,在野拜访,造访稷下学宫+智略≥60+幽默感(特殊选项),登用推荐,已有稷下学者推荐,稷下学宫,★★,稷下学宫关闭→淳于髡离开齐国,任何时候
# --- 赵国 ---
廉颇,赵,在野拜访,玩家统率≥55+在赵国有军职+与蔺相如关系良好,外交招募,廉颇被赵国排挤后→流亡魏/楚→可招募,邯郸(被排挤后→魏/楚),★★★★★,赵国不需要老将(年轻将领得势时),赵孝成王时期/被排挤后
李牧,赵,在野拜访,玩家在赵国北部边境+与匈奴交战经验+统率≥60,慕名而来,武名≥85+霸业≥50+赵国需要北疆统帅,代郡/雁门,★★★★★,赵王中了反间计→处死李牧(历史事件),赵悼襄王时期
赵奢,赵,在野拜访,玩家统率≥50+在赵国+曾以少胜多,军功提拔,从赵国军中提拔(发现其税收官→将军的转变),邯郸,★★★★,无(赵奢一直忠诚),赵惠文王时期
赵括,赵,军功提拔,赵奢已死+赵国需要年轻将领(危机时刻),登用推荐,赵奢推荐(赵奢在玩家手下时),邯郸,★★,有经验的老将都在→赵括不会被重用,长平之战前夕(悲剧节点)
蔺相如,赵,在野拜访,玩家在赵国任职+仁义≥65+智略≥55,慕名而来,信义≥80+名声远播,邯郸,★★★★,赵国政治腐败→蔺相如隐退,赵惠文王时期
平原君(赵胜),赵,在野拜访,玩家是赵国宗室或高官+魅力≥65,慕名而来,魅力≥80+赵国面临危机+门客众多,邯郸,★★★★,平原君封地被削→忠诚可能动摇,邯郸保卫战前夕
# --- 燕国 ---
乐毅,燕,在野拜访,燕昭王在位+玩家有"黄金台"建筑+仁义≥60,外交招募,乐毅被排挤后流亡赵国→可从赵国招募,燕国(昭王时)→赵国(被排挤后),★★★★★,燕昭王死后→乐毅被排挤出走,燕昭王在位期(黄金台时期)
荆轲,燕,在野拜访(酒馆),玩家是游侠/刺客+与田光(燕国侠客)有旧,事件招募,触发"燕太子丹招募死士"事件→被推荐,卫国(游侠)/燕国(被招),★★★★,无刺杀目标→荆轲只是普通游侠,燕太子丹刺秦筹备期
太子丹,燕,在野拜访,玩家在燕国为高官+与太子丹建立个人友谊,事件招募,秦国灭赵后→太子丹策划刺秦→可帮助或阻止,燕国,★★★,太子丹行事过于激进→可能引火烧身,秦国灭赵后(危机触发)
郭隗,燕,在野拜访,玩家在燕国+向燕王提出"求贤"建议,慕名而来,燕王求贤+郭隗自荐为"马骨",燕国,★★,燕王已有人才→不需要郭隗的"示范",燕昭王求贤期
# --- 魏国 ---
吴起,魏,外交招募,玩家在魏国+承诺让他施展军政才能+给予西河守职位,慕名而来,武名≥85+霸业≥60+承诺不干涉其军政,魏国(西河守)→楚国(后),★★★★★,魏国权贵排挤→吴起奔楚(可追杀或在楚国招募),魏文侯时期(明君在位)
庞涓,魏,军功提拔,玩家在魏国为将+统率≥50+鬼谷子门下背景加分,在野拜访,找到鬼谷→可能同时发现庞涓(与孙膑二选一),鬼谷→魏国,★★★★,庞涓已嫉妒孙膑→两人同朝会内斗,魏惠王时期
信陵君(魏无忌),魏,在野拜访,玩家与信陵君建立私人友谊+仁义≥60,事件招募,触发"窃符救赵"事件→帮助或加入信陵君,魏国,★★★★★,魏王猜忌→信陵君被削权(可能出国),邯郸保卫战前夕
西门豹,魏,在野拜访,玩家在邺城(魏国)+参与地方治理+智略≥50,登用推荐,魏国官员推荐+对水利有兴趣,邺城,★★★,邺城已被妥善治理→西门豹不愿离开,魏文侯时期
李悝,魏,在野拜访,玩家在魏国为高官+有变法之志+智略≥55,慕名而来,信义≥80+魏国有变法需求,魏国,★★★★★,魏国已完成变法→李悝不必二度变法,魏文侯时期(变法窗口)
# --- 韩国 ---
申不害,韩,在野拜访,玩家在韩国为高官+韩昭侯在位+智略≥50,慕名而来,信义≥75+韩国有变法需求,韩国,★★★★,韩昭侯去世→申不害政治影响力下降,韩昭侯时期(变法窗口)
韩非,韩,在野拜访,玩家在韩国为王族/高官+智略≥65+法家背景加分,外交招募,秦国强索韩非→可在秦国招募(但扣留风险),韩国→秦国(被索要),★★★★★,秦始皇强索韩非→入秦后被李斯害死,韩王安时期/秦始皇索要时
张良,韩,在野拜访,韩国已被灭→张良流亡→玩家提供复仇机会,事件招募,触发"博浪沙刺秦"前后→救助张良,韩故地/下邳,★★★★★,秦国未灭韩→张良只是韩国贵族/不会效忠他国,韩国被灭后的复仇期
冯亭,韩,战场招降,上党之战→冯亭献上党→可接受(触发长平之战)或拒绝,在野拜访,任韩国上党太守时→冯亭请示是否献地,上党,★★★,接受上党→触发秦赵长平之战(重大国际事件),上党危机
# --- 周/纵横家 ---
苏秦,周,在野拜访,找到鬼谷→获得苏秦线索→完成合纵任务,慕名而来,玩家发起了合纵会盟→苏秦主动加入,鬼谷→六国游说路上,★★★★★,合纵失败→苏秦声望崩溃,合纵酝酿期
张仪,秦,在野拜访,玩家在秦国为官→有连横之策的需求,外交招募,苏秦资助张仪入秦→发现张仪→可选择抢在秦国之前招募,魏国(贫困期)→秦国(苏秦资助),★★★★★,张仪未入秦→他只是个落魄的纵横家,秦惠文王时期
鬼谷子,周,在野拜访(最隐蔽),找到鬼谷(云梦山深处)→智略≥70→通过鬼谷考验,无,鬼谷子不收徒→他只是点拨有缘人(一次性),云梦山(地图隐藏),★★★★★(隐藏),鬼谷子不收世俗官职→只能学习技能,任何时候(找到即可)
公孙衍,魏/韩,在野拜访,玩家在魏国或韩国+有合纵/连横的志向,外交招募,发起大型会盟→公孙衍可能出现,魏国/韩国,★★★★,合纵连横已失效→公孙衍退出历史舞台,合纵活跃期
吕不韦,秦,在野拜访,在邯郸发现吕不韦+他正在"奇货可居"投资异人,外交招募,玩家有大量资金+承诺支持他的政治投资,卫国(商人)→赵国(发现异人)→秦国(投资成功),★★★★★,吕不韦投资失败→名声扫地,异人(秦始皇父亲)在赵为质时
