技能ID,技能名称,所属将领,技能类型,效果描述,触发条件,持续时间,冷却时间,技能稀有度,历史典故,技能标签
SKILL_LINXIANGRU,完璧归赵,蔺相如,外交技能,面对强国威胁时→可用智谋保全国家利益/被扣留概率-80%,代表国家出使强国时,该次出使,每国1次,传说,蔺相如完璧归赵,外交/反制/胆识
SKILL_ZHAOSHENG,窃符救赵(被动),赵胜(平原君),关系技能,国家危急时→可自动触发向他国求援→求援成功率+40%,国家被围攻时,战争期间,一次性,史诗,平原君向魏楚求援救赵,求援/人脉
SKILL_MAOSUI,毛遂自荐,毛遂,自荐技能,可跳过正常招募门槛→直接向君主/权贵自荐→成功率+25%,主动求见君主时,一次性,每位君主1次,史诗,毛遂自荐的经典故事,自荐/破格

# === 燕国将领技能 ===
SKILL_YUEYI,五国伐齐,乐毅,联盟技能,发起多国会盟/联合进攻时→各国参与率+30%/联军协同+25%,发起会盟/联军时,会盟期间,每次会盟1次,传说,乐毅率五国联军伐齐,联盟/外交军事
SKILL_YUEYI_02,黄金台,乐毅,招募技能,在燕国时→可建造"黄金台"→全国人才吸引力+50%,担任燕国官职,永久,永久,史诗,燕昭王筑黄金台求贤,招募/建筑
SKILL_JINGKE,图穷匕见,荆轲,暗杀技能,在正式场合(如朝见)接近目标→致命一击概率+50%,朝见/正式会面时,一次性,一次性(成功或死亡),传说,荆轲刺秦王图穷匕见,暗杀/牺牲
SKILL_TAIZIDAN,易水送别,太子丹,牺牲技能,可派遣死士执行必死任务→死士成功率+40%,派遣刺客/死士,一次性,每次任务,史诗,易水送别荆轲,死士/领导力
SKILL_GUOWEI,千金买马骨,郭隗,招募技能,用自己作为"马骨"示范→君主愿意花重金求贤的概率+50%,劝谏君主时,一次性,永久,史诗,郭隗以千金买马骨的故事说服燕昭王,劝说/示范效应

# === 魏国将领技能 ===
SKILL_WUQI,魏武卒,吴起,练兵技能,训练的士兵→品质自动+1级(新兵→精锐)/训练时间-40%,亲自训练时,持续(训练期间),无(被动),传说,吴起训练的魏武卒是战国最强步兵,练兵/品质
SKILL_WUQI_02,杀妻求将,吴起,负面/功利技能,为达成军事/政治目的→可选择牺牲至亲→忠诚度+20(君主认为你忠心)/但仁义-80,面临忠诚考验时,一次性,永久(仁义影响),传说(负面),吴起杀妻求将的争议,功利/牺牲
SKILL_PANGJUAN,嫉妒之焰,庞涓,负面技能,对智略高于自己的同门→伤害+30%(嫉妒驱动的战斗力),与智略更高的对手交战时,整场战斗,无(被动),史诗,庞涓嫉妒孙膑之才,负面/同门相残
SKILL_XIMENBAO,投巫治邺,西门豹,治理技能,担任地方官时→用巧妙手段破除迷信/民忠+20/治理效率+40%,担任地方官,持续任职期间,无(被动),史诗,西门豹投巫治邺,治理/反迷信
SKILL_XINLINGJUN,窃符救赵,信陵君,军事技能,可绕过君主→直接调兵(需要关系≥80的将领配合),国家危急/君主不同意出兵时,一次性,每次危机,史诗,信陵君窃符救赵,抗命/义举
SKILL_LIKUI,法经,李悝,变法技能,推行变法时→法律体系化→变法阻力-30%,推行变法,变法期间,无(被动),传说,李悝著《法经》为后世立法范本,变法/法律
SKILL_HUISHI,濠梁之辩,惠施,辩论技能,辩论中可用"子非鱼"式逻辑→使对方观点自相矛盾→胜率+20%,辩论中,辩论全程,每次辩论,史诗,惠施与庄子濠梁之辩,辩论/逻辑

# === 韩国将领技能 ===
SKILL_SHENBUHAI,术治,申不害,治理技能,担任相国时→官员考核自动化/腐败概率-40%,担任相国,持续任职期间,无(被动),史诗,申不害"术治"理论实践,治理/考核
SKILL_HANFEI,法家大成,韩非,文化技能,著书《韩非子》→完成后→法家影响力永久+100%/后世君主采用率+50%,著书中,著作完成后永久,一次性,传说,韩非子集法家大成,著书/法家
SKILL_ZHENGGUO,疲秦计,郑国,工程/间谍技能,以建造大型水利工程为名→消耗敌国国力(工程花费×1.5→都由敌国承担),被派遣入敌国,工程期间,一次性,史诗,韩国派郑国入秦修渠以"疲秦",工程/间谍
SKILL_ZHANGLIANG,运筹帷幄,张良,谋略技能,可在后方策划前线战术→前线将领获得智略+15(远程谋略支持),非亲自战斗时,整场战斗,每场1次,传说,张良运筹帷幄之中决胜千里之外,远程谋略
SKILL_YIYANG,百炼精钢,宜阳铁官,工艺技能,在此工匠监造下→武器品质自动+1级(上限紫色)/产量+100%,亲自监造,监造期间,无(被动),史诗,宜阳冶铁中心的秘密,工艺/品质

# === 周/纵横家技能 ===
SKILL_SUQIN,六国相印,苏秦,外交技能,可同时担任多国官职(普通只能任1国)/合纵联盟维系+50%,合纵会盟,联盟期间,无(被动),传说,苏秦佩六国相印,合纵/多国籍
SKILL_ZHANGYI,欺楚,张仪,外交技能,可许下虚假承诺→对方相信概率+50%(但兑现失败→信义永久-30),签订条约时,一次性(影响永久),每国1次,传说,张仪以割地为诺欺骗楚怀王,欺诈/高风险
SKILL_GUIGUZI,百家之祖,鬼谷子,教学技能,可同时教授多名学生→学生获得导师50%的属性加成(学习速度),教授学生时,持续(教学期间),无(被动),传说,鬼谷子门下苏秦张仪孙膑庞涓,教学/传承
SKILL_GONGSUNYAN,犀首,公孙衍,军事/外交,军事威胁+外交谈判结合→谈判成功率+25%(以战促和),谈判中,该次谈判,无冷却,史诗,公孙衍以武力为后盾的外交,军事外交
SKILL_LVBUWEI,奇货可居,吕不韦,投资技能,可投资流亡王子→投资成功→获得"国师"地位(该国所有决策权+20%),发现流亡王子时,一次性,永久(投资回报),传说,吕不韦投资异人→获得秦国相位,投资/政治赌博
SKILL_LVBUWEI_02,一字千金,吕不韦,文化技能,完成著作→可悬赏"一字千金"→著作影响力+200%,著作完成后,一次性,每部著作1次,传说,吕氏春秋一字千金,文化/营销
