节点ID,技能树,层级,节点名称,属性门槛,消耗技能点,效果描述,前置节点,节点类型,备注
SKL_ECON_01,经营系,Lv1,商业嗅觉,无,1,可看到商品在当前城的公道价,无,被动,
SKL_ECON_02,经营系,Lv1,精打细算,无,1,所有交易手续费-20%，讨价还价下限+5%,无,被动,
SKL_ECON_03,经营系,Lv1,货比三家,无,1,城内物价信息自动获取,无,被动,
SKL_ECON_11,经营系,Lv2,商路开拓,经营≥25,1,可发现隐藏商路，商队效率+20%,商业嗅觉或货比三家,被动,
SKL_ECON_12,经营系,Lv2,投资达人,经营≥25,1,商铺投资回报率+25%，投资回本周期-30%,精打细算,被动,
SKL_ECON_13,经营系,Lv2,库存管理,经营≥25,1,商队携带货物上限+50%，货物损耗-30%,货比三家,被动,
SKL_ECON_21,经营系,Lv3,垄断大师,经营≥45,1,同一商品买入>100件→售价+15%/每100件,商路开拓+投资达人,被动,
SKL_ECON_22,经营系,Lv3,钱生钱,经营≥45,1,闲置资金>10000金在钱庄自动生息(月息0.5%),投资达人,被动,
SKL_ECON_23,经营系,Lv3,砍价大师,经营≥45,1,还价上限+15%（总额可达55%）,精打细算→投资达人,被动,
SKL_ECON_24,经营系,Lv3,实业家,经营≥45,1,封地内所有生产建筑产出+20%,库存管理,被动,
SKL_ECON_31,经营系,Lv4,富可敌国,经营≥65,1,个人资产>10万金→任意城池上宾待遇,垄断大师+钱生钱,被动,
SKL_ECON_32,经营系,Lv4,商业帝国,经营≥65,1,名下商铺≥10间→所有商铺收入+30%,垄断大师+实业家,被动,
SKL_ECON_33,经营系,Lv4,危机商机,经营≥65,1,战争/灾荒时自动获得紧急物资供应任务,实业家+砍价大师,触发型,
SKL_ECON_41,经营系,Lv5,陶朱之富,经营≥80,2,可向国家贷款(利率自定),贸易收益+100%,经济独立,富可敌国+商业帝国,宗师,

# === 工艺系 ===
SKL_CRAFT_01,工艺系,Lv1,基础锻造,无,1,可锻造绿色品质装备，材料消耗-10%,无,解锁技能,
SKL_CRAFT_02,工艺系,Lv1,巧手,无,1,建造速度+20%，修理效率+30%,无,被动,
SKL_CRAFT_03,工艺系,Lv1,慧眼识材,无,1,采集资源15%概率获得额外材料,无,被动,
SKL_CRAFT_11,工艺系,Lv2,精锻技术,工艺≥25,1,可锻造蓝色品质装备，绿色暴击率+15%,基础锻造,解锁技能,
SKL_CRAFT_12,工艺系,Lv2,攻城器专家,工艺≥25,1,建造攻城器械速度+30%，器械耐久+20%,巧手,被动,
SKL_CRAFT_13,工艺系,Lv2,机关术,工艺≥25,1,解锁基础机关陷阱（捕兽夹/绊索/落坑）,巧手或慧眼识材,解锁技能,
SKL_CRAFT_21,工艺系,Lv3,百炼成钢,工艺≥45,1,可锻造紫色品质装备，蓝色暴击率+20%,精锻技术,解锁技能,
SKL_CRAFT_22,工艺系,Lv3,名剑仿制,工艺≥45,1,可仿造十大名剑仿品(紫品质，威力80%),精锻技术→百炼成钢,解锁技能,
SKL_CRAFT_23,工艺系,Lv3,建筑大师,工艺≥45,1,封地建造时间-30%，建筑维护费-25%,攻城器专家,被动,
SKL_CRAFT_24,工艺系,Lv3,火器初探,工艺≥45,1,解锁火药制作（硫磺+硝石+木炭）,机关术,解锁技能,
SKL_CRAFT_31,工艺系,Lv4,神兵锻造,工艺≥65,1,可锻造金色品质装备(非名剑)，紫色暴击率+25%,百炼成钢,解锁技能,
SKL_CRAFT_32,工艺系,Lv4,移动工坊,工艺≥65,1,可在野外搭建临时工坊（修理/制造基础装备）,建筑大师,解锁技能,
SKL_CRAFT_33,工艺系,Lv4,攻城革命,工艺≥65,1,解锁配重投石机(射程+40%)和铁火炮(范围爆炸),火器初探+攻城器专家,解锁技能,
SKL_CRAFT_41,工艺系,Lv5,鬼斧神工,工艺≥80,2,可重铸损坏的名剑,制造专属神兵(命名权),所有锻造品质+1级,神兵锻造+攻城革命,宗师,

# === 隐藏组合技能 ===
SKL_HIDDEN_01,隐藏,特殊,霸王,战斗Lv5+统帅Lv5+武勇≥85+统率≥85,2,同时亲自冲锋+全军指挥无切换惩罚,万人之敌+千军万马,宗师隐藏,
SKL_HIDDEN_02,隐藏,特殊,圣贤,智谋Lv5+魅力Lv5+智略≥85+魅力≥85,2,计谋和外交可结合使用（谈判中离间对方）,神机妙算+天下归心,宗师隐藏,
SKL_HIDDEN_03,隐藏,特殊,国师,经营Lv5+工艺Lv5+经营≥85+工艺≥85,2,经济产出和工艺品质互相加成(+20%),陶朱之富+鬼斧神工,宗师隐藏,
SKL_HIDDEN_04,隐藏,特殊,剑圣,战斗Lv5+工艺Lv5+武勇≥85+工艺≥85,2,个人战斗力受工艺属性加成(工艺/2=额外武勇修正),万人之敌+鬼斧神工,宗师隐藏,
