建筑ID,建筑名称,类别,子类别,建造成本_金,建造时间_天,月维护_金,占地_格,需要工人,产出/效果,前置条件,封地等级要求,科技要求,备注
B_REFINE_18,染坊,加工,染色,500,10,40,2×2,1,布帛+染料→染色布帛,纺织坊已建,村庄,染色术,提升布帛价值

# === 商业建筑 ===
B_SHOP_01,市集,商业,综合,1000,10,50,2×2,2,商业税+100-300金/月,无,村庄,无,
B_SHOP_02,商铺,商业,零售,500,7,20,1×1,1,租金+30-80金/月,市集已建,村庄,无,
B_SHOP_03,仓库,商业,存储,300,10,10,2×2,0,货物存储+200石,无,村庄,无,保护货物免受损坏
B_SHOP_04,驿站,商业,运输,400,7,30,1×1,1,商队效率+15%,无,村庄,无,
B_SHOP_05,钱庄,商业,金融,2000,15,100,1×1,2,贷款利率+5%,存储金生息,市集已建,乡镇,货币经济,
B_SHOP_06,当铺,商业,金融,800,10,40,1×1,1,可抵押物品换金,市集已建,乡镇,无,紧急融资渠道

# === 军事建筑 ===
B_MIL_01,兵营,军事,驻军,1500,20,200,3×3,0,驻军容量+200,无,村庄,无,
B_MIL_02,训练场,军事,训练,1000,15,100,3×3,0,士兵经验成长+20%,兵营已建,村庄,无,
B_MIL_03,武库,军事,存储,2000,25,150,2×2,0,武器存储+500件,冶铁坊已建,乡镇,无,
B_MIL_04,马厩,军事,骑兵,1200,15,150,3×3,2,战马饲养+存储20匹,马场已建,乡镇,无,
B_MIL_05,箭塔,军事,防御,500,10,30,1×1,0,防御射击(3格范围),无,村庄,无,基础防御
B_MIL_06,城墙(木栅),军事,防御,300/段,15/段,10/段,边线,0,防御+10%/段,无,村庄,无,初级防御
B_MIL_07,城墙(石墙),军事,防御,800/段,30/段,25/段,边线,0,防御+25%/段,采石场已建,乡镇,石工术,中级防御
B_MIL_08,城墙(砖墙+瓮城),军事,防御,2000/段,60/段,50/段,边线,0,防御+45%/段,城墙(石墙),县城,砖瓦烧制,高级防御
B_MIL_09,烽火台,军事,警戒,300,7,15,1×1,0,提前预警(3回合),无,村庄,无,

# === 民生建筑 ===
B_LIFE_01,民居,民生,居住,100,5,0,1×1,0,人口容量+10,租金+5金/月,无,村庄,无,基础人口建筑
B_LIFE_02,水井,民生,水源,150,5,5,1×1,0,居民满意度+5,无,村庄,无,
B_LIFE_03,医馆,民生,医疗,500,10,50,1×1,1,居民健康+10%,瘟疫概率-30%,无,乡镇,医术,
B_LIFE_04,学堂,民生,教育,800,20,80,2×2,2,科技研发+5%,人才出现率↑,无,乡镇,无,
B_LIFE_05,粮仓,民生,储备,400,10,20,2×2,0,粮食存储+500石,抗灾荒,农田已建,村庄,无,
B_LIFE_06,祠堂,民生,祭祀,300,10,15,1×1,0,民忠+5,无,村庄,无,
B_LIFE_07,官衙,民生,治安,600,15,60,2×2,2,治安+10,犯罪率下降,无,乡镇,无,
B_LIFE_08,墓地,民生,殡葬,200,7,5,2×2,0,居民满意度+3,卫生+5,无,乡镇,无,
B_LIFE_09,浴堂,民生,卫生,400,10,30,1×1,1,居民健康+5%,满意度+3,无,乡镇,无,

# === 文化建筑 ===
B_CUL_01,学宫,文化,教育,3000,45,300,4×4,5,吸引学者,科技研发+15%,学堂已建,县城,百家争鸣,诸子学派传播
B_CUL_02,乐坊,文化,音乐,1000,15,80,2×2,3,居民满意度+10,魅力+,无,乡镇,无,
B_CUL_03,园林,文化,景观,1500,20,60,3×3,1,居民满意度+8,来访NPC好感+,无,乡镇,园林设计,
B_CUL_04,书肆,文化,书籍,1200,20,100,2×2,2,竹简产出+科技传播,学堂已建,乡镇,造纸术,知识传播加速
B_CUL_05,观星台,文化,天文,3000,40,200,2×2,1,历法精度+20%,农业产出+5%,学宫已建,县城,天文历法,季节预判
B_CUL_06,祭坛,文化,祭祀,800,15,50,2×2,1,祭祀活动,天灾概率-5%,祠堂已建,乡镇,无,
