# ==================== 科技树完整数据表 (扩展版) ====================
科技ID,科技名称,分支,时代,等级,前置科技,交叉前置,研发时间_天,花费_金,解锁建筑,解锁兵种,解锁政策,解锁指令,农业产出修正(%),商业收入修正(%),军事伤害修正(%),军事防御修正(%),行政效率修正(%),科技速度修正(%),民忠修正,解锁效果描述,灵感触发条件,历史参考
TECH_MIL_08,火器初探,军事,帝国,T5,连弩+攻城,无,300,50000,火药工坊,火铳兵(T5架空),无,火药指令,0,0,火攻+100%城防伤害+50%,0,0,0,火药武器解锁(时代超前),连续3次成功使用火攻触发灵感,宋代以后但游戏可架空

# ==================== 经济科技 ====================
TECH_ECON_01,市集,经济,古典,T1,无,无,30,1000,市集(建筑),无,无,无,0,10,0,0,0,0,0,商业收入+10%商路可见商铺投资解锁,完成首次跨城交易,战国商业发展
TECH_ECON_02,商路开拓,经济,古典,T2,市集,无,60,3000,无,无,无,自动商队派遣,0,0,0,0,0,0,0,商路+3商队容量+30%隐藏商路发现,在3座不同城池拥有商铺,商路网络
TECH_ECON_03,盐铁专营,经济,古典,T3,商路,需水利或铁兵器,90,5000,无,无,盐铁专营(政策),无,0,0,0,0,0,0,0,盐铁国家垄断收入2000-5000/月,控制一处盐产或铁矿,管仲创始/桑弘羊
TECH_ECON_04,均输平准,经济,争鸣,T4,盐铁,无,120,8000,常平仓,无,均输平准(政策),无,0,0,0,0,0,0,0,物价波动-50%灾荒粮价可控,经历过1次粮价暴涨事件,李悝平籴法/桑弘羊
TECH_ECON_05,货币统一,经济,争鸣,T4,均输,无,180,15000,国家铸币局,无,货币统一(政策),无,0,0,0,0,0,0,0,交易成本-20%跨城贸易+30%税收+15%,控制3座以上商业>60的城池,秦始皇统一货币
TECH_ECON_06,钱庄体系,经济,争鸣,T4,货币统一,无,150,10000,钱庄(建筑),无,无,汇票/借贷,0,0,0,0,0,0,0,闲置金生息0.3%/月贷款8-15%,累积闲置金>20000时触发,汉代柜坊/飞钱
TECH_ECON_07,海贸,经济,帝国,T5,商路+造船术,造船术(工艺T5),200,20000,港口,无,无,海上商路派遣,0,50(海上商路),0,0,0,0,0,海上商路收入+50%新奢侈品流入,控制一座沿海城池+商业>60,齐/楚/越海上贸易
TECH_ECON_08,天下市集,经济,帝国,T6,全部经济科技,无,300,50000,天下市集(都城专属),无,经济霸权(外交),全球贸易自动优化,0,30(全部商路),0,0,0,0,跨国无额外关税,跨国贸易额占全国商业50%+时触发,架空终极经济/全球化

# ==================== 政治科技 ====================
TECH_POL_01,郡县制,政治,古典,T1,无,无,60,3000,官衙(每县),无,郡县制(政策),任免县令,0,0,0,0,0,0,0,中央集权+地方叛乱-20%,获得第一块非首都领土,商鞅变法核心
TECH_POL_02,集权,政治,古典,T2,郡县,无,90,5000,驿传系统,无,无,无,0,0,0,0,15,0,0,政策槽+1行政效率+15%,同时管理>5座城池,中央集权强化
TECH_POL_03,察举制,政治,古典,T3,集权,无,120,6000,无,无,无,举荐人才,0,0,0,0,0,0,0,人才选拔+30%寒门入仕人才池+40%,连续3次在野人才招募失败触发,汉代察举制
TECH_POL_04,俸禄制,政治,争鸣,T3,察举,无,90,4000,无,无,俸禄调节,无,0,0,0,0,0,0,官员贪腐-30%,贪污率>15%触发灵感,官僚制度
TECH_POL_05,考课制,政治,争鸣,T4,俸禄,无,150,8000,无,无,无,季度考核,0,0,0,0,官僚效率+20%,0,0,官员考核系统+绩效差自动降职,连续3次官员考核不合格触发,秦代上计/申不害术治
TECH_POL_06,密折制度,政治,争鸣,T4,考课,无,180,10000,无,无,密折监察,情报简报,0,0,0,0,反腐效率+50%,0,猜忌氛围+5%,官员可匿名举报反腐+50%,发现贪污>3名官员后触发,清代密折(超前参考)
TECH_POL_07,文字统一,政治,帝国,T5,集权,无,200,15000,学室(文字培训),无,文字统一(政策),无,0,0,0,0,20,0,文化+15%,全国行政效率+20%文书标准化,领土跨越3种以上不同文字区,秦始皇书同文
TECH_POL_08,车同轨书同文,政治,帝国,T6,文字统一+货币统一,货币统一(经济T5),360,50000,驰道网络/学室全国,无,帝国政令(超级政策卡组),巡狩,0,0,0,0,50(全国),0,国家认同+80%,帝国一体化→所有效率+50%,完成统一后自动触发研发需求,秦始皇统一度量衡/驰道

# ==================== 文化科技 ====================
TECH_CUL_01,学宫,文化,古典,T1,无,无,60,3000,学宫(建筑),无,无,无,0,0,0,0,0,15,0,科技研发+15%人才出现+10%,招募到1位智略>80的人才,稷下学宫/战国学术
TECH_CUL_02,著书,文化,古典,T2,学宫,无,90,4000,书肆,无,无,著书立说,0,0,0,0,0,20(传播),0,学派影响力+科技传播+20%著作+30%,完成1本著作(竹简),百家著书立说
TECH_CUL_03,乐府,文化,古典,T2,学宫,无,60,2000,乐府(建筑),无,无,无,0,0,0,0,0,0,5(全国),民忠+5文化产品价值+20%,在城内举办1次庆典,汉代乐府/儒家礼乐
TECH_CUL_04,历法,文化,争鸣,T3,著书,无,150,8000,观星台,无,历法改革(政策),无,8,0,0,0,0,0,0,农业时令精确→产出+8%祭祀效果+,连续2次误判天气后触发,阴阳家/邹衍
TECH_CUL_05,医学,文化,争鸣,T3,无,无,120,5000,医馆(升级),无,无,无,0,0,0,0,0,0,0,瘟疫概率-40%伤兵恢复+30%死亡率-15%,经历1次重大瘟疫后触发灵感,扁鹊/黄帝内经
TECH_CUL_06,百家争鸣,文化,争鸣,T4,学宫+著书,无,180,10000,无,无,百家争鸣(政策),无,0,0,0,0,0,30,学派冲突概率+,科技研发+30%人才+40%(可能学派冲突),拥有≥3个学派人员时触发,战国学术黄金期
TECH_CUL_07,史学,文化,帝国,T4,著书+历法,无,150,6000,无,无,无,修史,0,0,0,0,0,0,0,霸业声望获取+30%统治合法性+20%,完成统一(霸业>70)后触发,春秋/国语/史记前身
TECH_CUL_08,经学大成,文化,帝国,T6,百家争鸣+史学,无,300,25000,经学馆(终极文化建筑),无,文化胜利解锁,无,0,0,0,0,0,0,文化产出+25%,所有文化产出+25%文化胜利条件,完成全部文化科技(总结性),汉代经学/郑玄

# ==================== 工艺科技 ====================
TECH_CRAFT_01,冶铁术,工艺,古典,T1,无,无,60,3000,冶铁坊,无,无,无,0,0,武器伤害(品质+1级),0,0,0,0,武器品质上限+1级解锁铁器打造,锻造出1件绿色品质武器,冶铁技术革命
TECH_CRAFT_02,炼钢,工艺,古典,T2,冶铁,无,120,8000,炼钢坊,无,无,无,0,0,武器伤害(品质+2级),装备耐久+50%,0,0,0,百炼钢→可锻紫品质,锻造出1件蓝色品质武器,百炼钢技术
TECH_CRAFT_03,铸造,工艺,古典,T2,冶铁,无,90,5000,铸造坊,攻城器械(制造加速),无,无,0,0,兵器成本-20%,0,0,0,0,大型铸件兵器量产-20%成本,同时生产>100件兵器时触发,青铜铸造→铁器铸造
TECH_CRAFT_04,纺织,工艺,争鸣,T1,无,无,60,2000,纺织坊,无,无,无,0,商业吸引力+,0,0,0,0,0,丝绸/布帛+30%新奢侈品,拥有桑田+纺织坊组合时触发,纺织技术
TECH_CRAFT_05,造船术,工艺,争鸣,T3,铸造,商路开拓(经济T2),150,10000,造船厂,楼船(T4战舰),无,水军指令,0,沿海贸易+,水军实力+,0,0,0,0,解锁楼船/水军+沿海贸易开启,在河流/沿海作战胜利后触发,造船技术/楼船
TECH_CRAFT_06,陶瓷,工艺,争鸣,T1,无,无,60,2000,陶瓷坊,无,无,无,0,5(文化商品),0,0,0,0,0,陶器→原始瓷器商业+5%,对外贸易额>10000金时触发,陶瓷发展
TECH_CRAFT_07,织造精进,工艺,帝国,T3,纺织,无,120,5000,织造局,无,无,丝绸之路贸易,0,奢侈品价值+50%,0,0,0,0,文化影响+,锦缎/刺绣奢侈品价值+50%,对外贸易国>5个时触发,高级纺织品
TECH_CRAFT_08,终极工艺,工艺,帝国,T5,炼钢+造船+织造,无,360,50000,终极工坊(唯一建筑),金品质装备,终极工程解锁,终极工程指令,0,0,0,0,0,0,0,所有工艺+30%金品质装备/终极工程,同时完成≥40项科技后触发,万里长城/阿房宫级
